filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,ɑː,28.79,28.89,100.0,,,1.554
Aardema_maiden_t.wav,ɪ,28.99,29.06,70.0,,,
Aardema_maiden_t.wav,a,29.23,29.31,80.0,,,1.859
Aardema_maiden_t.wav,ə,29.45,29.49,40.0,,,
Aardema_maiden_t.wav,aʊ,29.56,29.65,90.0,,,0.793
Aardema_maiden_t.wav,ə,29.74,29.79,50.0,,,
Aardema_maiden_t.wav,ɔ,29.84,29.88,40.0,,,
Aardema_maiden_t.wav,a,29.96,30.03,70.0,,,
Aardema_maiden_t.wav,a,30.18,30.28,100.0,,,8.163
Aardema_maiden_t.wav,aɪ,30.44,30.51,70.0,,,
Aardema_maiden_t.wav,ə,30.57,30.61,40.0,,,
Aardema_maiden_t.wav,oː,30.67,30.74,70.0,,,
Aardema_maiden_t.wav,ə,30.79,30.83,40.0,,,
Aardema_maiden_t.wav,ɪ,30.88,30.94,60.0,,,
Aardema_maiden_t.wav,a,31.78,31.86,80.0,,,-1.189
Aardema_maiden_t.wav,aʊ,32.02,32.14,120.0,,,10.66
Aardema_maiden_t.wav,ɛ,32.36,32.5,140.0,,,0.228
Aardema_maiden_t.wav,a,32.58,32.66,80.0,,,-1.064
Aardema_maiden_t.wav,ə,32.81,32.86,50.0,,,
Aardema_maiden_t.wav,oː,32.86,32.96,100.0,,,-1.429
Aardema_maiden_t.wav,ɛ,33.08,33.15,70.0,,,
Aardema_maiden_t.wav,ə,33.26,33.31,50.0,,,
Aardema_maiden_t.wav,ɑː,34.6,34.69,90.0,,,-0.1
Aardema_maiden_t.wav,a,34.78,34.87,90.0,,,11.168
Aardema_maiden_t.wav,aɪ,34.96,35.03,70.0,,,
Aardema_maiden_t.wav,ə,35.09,35.13,40.0,,,
Aardema_maiden_t.wav,yː,35.24,35.3,60.0,,,
Aardema_maiden_t.wav,uː,35.36,35.44,80.0,,,8.364
Aardema_maiden_t.wav,ə,35.51,35.55,40.0,,,
Aardema_maiden_t.wav,iː,35.61,35.69,80.0,,,7.743
Aardema_maiden_t.wav,a,35.69,35.79,100.0,,,9.883
Aardema_maiden_t.wav,ə,35.85,35.92,70.0,,,
Aardema_maiden_t.wav,a,36.02,36.08,60.0,,,
Aardema_maiden_t.wav,a,36.22,36.28,60.0,,,
Aardema_maiden_t.wav,ɛ,36.44,36.57,130.0,,,
Aardema_maiden_t.wav,iː,36.75,36.79,40.0,,,
Aardema_maiden_t.wav,a,36.85,36.95,100.0,,,6.416
Aardema_maiden_t.wav,ə,37.03,37.07,40.0,,,
Aardema_maiden_t.wav,ə,37.25,37.36,110.0,,,1.686
Aardema_maiden_t.wav,ɪ,37.38,37.51,130.0,,,
Aardema_maiden_t.wav,ə,37.61,37.67,60.0,,,
Aardema_maiden_t.wav,a,37.67,37.74,70.0,,,
Aardema_maiden_t.wav,ə,37.88,37.92,40.0,,,
Aardema_maiden_t.wav,a,37.96,38.01,50.0,,,
Aardema_maiden_t.wav,ə,38.12,38.2,80.0,,,2.45
Aardema_maiden_t.wav,ɪ,38.27,38.32,50.0,,,
Aardema_maiden_t.wav,ə,38.37,38.4,30.0,,,
Aardema_maiden_t.wav,a,38.51,38.57,60.0,,,
Aardema_maiden_t.wav,ə,38.7,38.76,60.0,,,
Aardema_maiden_t.wav,ɛ,38.81,38.85,40.0,,,
Aardema_maiden_t.wav,ɛ,38.89,38.93,40.0,,,
Aardema_maiden_t.wav,ɛ,40.02,40.16,140.0,,,
Aardema_maiden_t.wav,a,40.22,40.29,70.0,,,
Aardema_maiden_t.wav,y,40.35,40.4,50.0,,,
Aardema_maiden_t.wav,ɛ,40.48,40.57,90.0,,,1.547
Aardema_maiden_t.wav,ə,40.64,40.7,60.0,,,
Aardema_maiden_t.wav,a,40.75,40.82,70.0,,,
Aardema_maiden_t.wav,iː,40.9,40.96,60.0,,,
Aardema_maiden_t.wav,a,41.02,41.08,60.0,,,
Aardema_maiden_t.wav,ə,41.17,41.24,70.0,,,
Aardema_maiden_t.wav,aʊ,41.24,41.36,120.0,,,5.547
Aardema_maiden_t.wav,a,41.53,41.57,40.0,,,
Aardema_maiden_t.wav,oː,41.64,41.75,110.0,,,2.602
Aardema_maiden_t.wav,ə,41.83,41.88,50.0,,,
Aardema_maiden_t.wav,a,41.95,42.02,70.0,,,
Aardema_maiden_t.wav,ʊ,42.08,42.13,50.0,,,
Aardema_maiden_t.wav,iː,42.29,42.35,60.0,,,
Aardema_maiden_t.wav,eː,42.43,42.5,70.0,,,
Aardema_maiden_t.wav,oː,42.58,42.64,60.0,,,
Aardema_maiden_t.wav,ʊ,42.72,42.79,70.0,,,
Aardema_maiden_t.wav,a,42.87,42.93,60.0,,,
Aardema_maiden_t.wav,ə,42.99,43.04,50.0,,,
Aardema_maiden_t.wav,a,43.18,43.25,70.0,,,
Aardema_maiden_t.wav,ə,43.32,43.38,60.0,,,
Aardema_maiden_t.wav,a,43.44,43.51,70.0,,,
Aardema_maiden_t.wav,aʊ,44.16,44.29,130.0,,,1.678
Aardema_maiden_t.wav,ɪ,44.29,44.41,120.0,,,1.849
Aardema_maiden_t.wav,ə,44.47,44.51,40.0,,,
Aardema_maiden_t.wav,aʊ,44.64,44.71,70.0,,,
Aardema_maiden_t.wav,ʊ,44.78,44.83,50.0,,,
Aardema_maiden_t.wav,aɪ,45.0,45.09,90.0,,,-0.439
Aardema_maiden_t.wav,ə,45.18,45.24,60.0,,,
Aardema_maiden_t.wav,ɛ,45.88,45.93,50.0,,,
Aardema_maiden_t.wav,ɛ,46.03,46.1,70.0,,,
Aardema_maiden_t.wav,ɛ,46.16,46.22,60.0,,,
Aardema_maiden_t.wav,ə,46.32,46.4,80.0,,,11.595
Aardema_maiden_t.wav,a,46.54,46.63,90.0,,,6.122
Aardema_maiden_t.wav,ə,46.72,46.77,50.0,,,
Aardema_maiden_t.wav,ə,46.83,46.89,60.0,,,
Aardema_maiden_t.wav,ɛ,46.96,47.03,70.0,,,
Aardema_maiden_t.wav,ə,47.1,47.15,50.0,,,
Aardema_maiden_t.wav,ɛ,47.22,47.27,50.0,,,
Aardema_maiden_t.wav,ə,47.34,47.39,50.0,,,
Aardema_maiden_t.wav,ɔ,47.39,47.46,70.0,,,
Aardema_maiden_t.wav,ʊ,47.58,47.63,50.0,,,
Aardema_maiden_t.wav,a,47.82,47.87,50.0,,,
